Num,Coordinate_384w,Coordinate_96w,Identity,Number,Plate,Conc x Dil
133,E9,C5,JT_RG_1,1 cell,1,0.69
135,G9,D5,JT_RG_1,1 cell,1,0.69
137,I9,E5,JT_TM_6,1 cell,1,0.71
139,K9,F5,JT_TM_6,1 cell,1,0.68
141,M9,G5,JT_RG_2,1 cell,1,0.72
143,O9,H5,JT_RG_2,1 cell,1,0.65
161,A11,A6,JT_TM_5,1 cell,1,0.7
163,C11,B6,JT_TM_5,1 cell,1,0.69
165,E11,C6,JT_RG_1,1 cell,1,0.69
167,G11,D6,JT_RG_1,1 cell,1,0.72
169,I11,E6,JT_TM_6,1 cell,1,0.68
171,K11,F6,JT_TM_6,1 cell,1,0.68
173,M11,G6,JT_RG_2,1 cell,1,0.67
175,O11,H6,JT_RG_2,1 cell,1,0.66
193,A13,A7,JT_TM_5,1 cell,1,0.67
195,C13,B7,JT_TM_5,1 cell,1,0.72
197,E13,C7,JT_RG_1,1 cell,1,0.68
199,G13,D7,JT_RG_1,1 cell,1,0.7
201,I13,E7,JT_TM_6,1 cell,1,0.68
203,K13,F7,JT_TM_6,1 cell,1,0.68
205,M13,G7,JT_RG_2,1 cell,1,0.67
207,O13,H7,JT_RG_2,1 cell,1,0.67
225,A15,A8,JT_TM_5,1 cell,1,0.68
227,C15,B8,JT_TM_5,1 cell,1,0.68
229,E15,C8,JT_RG_1,1 cell,1,0.72
231,G15,D8,JT_RG_1,1 cell,1,0.68
233,I15,E8,JT_TM_6,1 cell,1,0.72
235,K15,F8,JT_TM_6,1 cell,1,0.7
237,M15,G8,JT_RG_2,1 cell,1,0.67
239,O15,H8,JT_RG_2,1 cell,1,0.69
257,A17,A9,JT_TM_5,1 cell,1,0.68
259,C17,B9,JT_TM_5,1 cell,1,0.72
261,E17,C9,JT_RG_1,1 cell,1,0.68
263,G17,D9,JT_RG_1,1 cell,1,0.73
265,I17,E9,JT_TM_6,1 cell,1,0.73
267,K17,F9,JT_TM_6,1 cell,1,0.7
269,M17,G9,JT_RG_2,1 cell,1,0.68
271,O17,H9,JT_RG_2,1 cell,1,0.74
